Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Kukka Katuku Cheppu Debba,Eeranki Sharma,,,Chiranjeevi,M. S. Viswanathan,,1979,876
Maavari Manchitanam,B. A. Subba Rao,,,NTR,,,1979,877
Mande Gundelu,K. Bapaiah,,,"Krishna, ",K. V. Mahadevan,,1979,878
Muddula Koduku,V. B. Rajendra Prasad,,,ANR,,,1979,879
Naa Illu Naa Vallu,Raja Chandra,,,Giribabu,J. V. Raghavulu,,1979,880
Nagna Sathyam,U. Viswesar Rao,,,"Ramprasad, Krishnaveni",,,1979,881
Needa,Dasari Narayana Rao,,,Ramesh Babu,Ramesh Naidu,,1979,882
Nimajjanam,B. S. Narayana,,,Sharada,,,1979,883
Nindu Noorellu,K. Raghavendra Rao,,,Mohan Babu,Chakravarthy,,1979,884
Pancha Bhoothalu,P. C. Reddy,,,,,,1979,885
Punadhirallu,Rajkumar,,,Chiranjeevi,Premji Amaran,,1979,886
Rama Banam,Y. Eshwara Reddy,,,Sobhan Babu,Satyam,,1979,887
Rangoon Rowdy,Dasari Narayana Rao,,,Krishnam Raju,J. V. Raghavulu,,1979,888
Ravanude Ramudayithe?,Dasari Narayana Rao,,,ANR,,,1979,889
Shri Rama Bantu,S. D. Lal,,,Chiranjeevi,Satyam,,1979,890
Sri Madvirata Parvam,N. T. Rama Rao,,,N. T. Rama Rao,Susarla Dakshinamurthi,,1979,891
Sri Tirupati Venkateswara Kalyanam,N. T. Rama Rao,,,"NTR, ",,,1979,892
Sri Vinayaka Vijayamu,Kamalakara Kameswara Rao,,,Uppalapati Krishnam Raju,,,1979,893
Srungara Ramudu,K. Shankar,,,N. T. Rama Rao,K. V. Mahadevan,,1979,894
Tayaramma Bangarayya,Kommineni Seshagiri Rao,,,Sowkar Janaki,K. V. Mahadevan,,1979,895
Tiger,Nandamuri Ramesh,,,N. T. Rama Rao,,,1979,896
Toorpu Velle Railu,Bapu,,,"Jyothi, ",,,1979,897
Vetagaadu,K. Raghavendra Rao,,,N. T. Rama Rao,Chakravarthy,,1979,898
Yugandhar,K. S. R. Das,,,N. T. Rama Rao,Ilaiyaraaja,,1979,899
Aarani Mantalu,K. Vasu,T. V. Films,,Chiranjeevi,,,1980,900
Aatagadu,Rama Rao Tatineni,Venkateshwara Movie Creations,,N. T. Rama Rao,,,1980,901
Adadhee Gadapa Datithe,B. S. Narayana,Sri Srinivasa Padmavathi Productions,,Rajendra Prasad,,,1980,902
Adrushtavanthudu,G. C. Shekar,,,Krishna Ghattamaneni,,,1980,903
Agni Samskaram,G. V. Prabhakar,Sri Sharada Enterprises,,Chiranjeevi,,,1980,904
Alayam,D. Madhusudhana,,,Nagesh,,,1980,905
Alludu Pattina Bharatam,K. Vishwanath,D. V. S. Productions,,Krishnam Raju,,,1980,906
Bebbuli,V. Madhusudhan Rao,,,Krishnam Raju,,,1980,907
Bhale Krishnudu,K. Raghavendra Rao,Vijaya Creations,,Krishna Ghattamaneni,,,1980,908
Buchi Babu,Dasari Narayana Rao,Annapurna Studios,,Akkineni Nageswara Rao,,,1980,909
Challenge Ramudu,T. L. V. Prasad,,,N. T. Rama Rao,,,1980,910
Chandipriya,V. Madhusudhan Rao,Annapurna Pictures,,Chiranjeevi,,,1980,911
Chesina Baasalu,K. S. R. Das,Srikanth Pictures,,Sobhan Babu,,,1980,912
Chuttalunnaru Jagratha,B. V. Prasad,Amrutha Pictures,,Krishna Ghattamaneni,,,1980,913
Circus Ramudu,Dasari Narayana Rao,K. C. Films International,,N. T. Rama Rao,,,1980,914
Dharma Chakram,Lakshmi Deepak,Y L N Pictures,,Sobhan Babu,,,1980,915
Gaja Donga,K. Raghavendra Rao,Vijaya Durga Art Pictures,,N. T. Rama Rao,,,1980,916
